日期,标题,媒体来源,摘要,涉及国家/地区,主题分类,关键词,出处链接,重要程度
2026-07-29,"特朗普政府禁止新型中国人形机器人入境，以保护美国AI建设",路透社,"特朗普政府宣布禁止新型中国人形机器人进口，限制措施显示美国政府正致力于保护美国人工智能供应链免受中国威胁。此举被视为美中科技竞争的最新升级，涉及机器人制造、AI算法和高端芯片等多个领域。",中国;美国,人工智能竞争,特朗普;人形机器人;AI竞争;科技制裁;供应链安全,https://www.reuters.com/world/trump-administration-ban-new-chinese-robots-inverters-protecting-us-ai-buildout-2026-07-28/,高
2026-07-29,"伊朗将在数周内获得中国肩扛式导弹系统",路透社,"据消息人士透露，伊朗预计将在数周内接收中国制造的肩扛式导弹系统。这一军售协议可能加剧中东地区紧张局势，并引发美国及其盟友的关注。该交易反映了中俄伊战略协作的深化。",中国;伊朗;美国;俄罗斯,国际政治,伊朗;军售;导弹系统;中东局势;中俄伊合作,https://www.reuters.com/world/china/iran-get-chinese-shoulder-launched-missile-systems-weeks-sources-say-2026-07-29/,高
2026-07-29,"美国军方称拦截伊朗向中东美军发射的弹道导弹",路透社,"美国军方周二表示，已拦截多枚伊朗向中东地区美军目标发射的弹道导弹。华盛顿将此次袭击描述为德黑兰发动的""企图性突然袭击""。事件发生在美伊紧张关系持续升级背景下，可能对地区稳定产生重大影响。",美国;伊朗;伊拉克;沙特阿拉伯,国际政治,伊朗;弹道导弹;美军;中东冲突;军事对抗,https://www.reuters.com/world/middle-east/us-military-says-it-intercepted-iranian-ballistic-missiles-launched-towards-us-2026-07-28/,高
2026-07-29,"特朗普称与泽连斯基和内塔尼亚胡的会晤是积极的",路透社,"美国总统特朗普周二晚表示，他与乌克兰总统泽连斯基和以色列总理内塔尼亚胡的会晤是积极的。这两场双边会谈在白宫接连举行，讨论了乌克兰战争和中东局势等紧迫议题。",美国;乌克兰;以色列,外交资讯,特朗普;泽连斯基;内塔尼亚胡;白宫会晤;乌克兰战争,https://www.reuters.com/world/us/trump-says-meetings-with-zelenskiy-netanyahu-were-positive-2026-07-29/,高
2026-07-29,"俄罗斯指控Telegram创始人杜罗夫协助恐怖主义",路透社,"俄罗斯联邦安全局（FSB）指控社交媒体平台Telegram创始人帕维尔·杜罗夫协助恐怖主义活动。这一指控可能对全球加密通信行业产生深远影响，引发关于平台责任和用户隐私的新一轮辩论。",俄罗斯,国际政治,杜罗夫;Telegram;恐怖主义指控;FSB;加密通讯,https://www.reuters.com/world/russias-fsb-charges-telegram-founder-durov-with-facilitating-terrorism-ifax-says-2026-07-29/,中
2026-07-29,"日本南部发生7.1级地震，救援人员与时间赛跑",BBC News,"日本九州岛周二发生6.8级地震，造成至少13人死亡。救援人员正在倒塌的购物中心和工厂废墟中搜寻幸存者。死亡人数预计还将上升，当地政府已请求全国支援。",日本,地区热点,日本地震;九州;自然灾害;救援行动,https://www.bbc.com/news/live/c9q2481v855t,中
2026-07-29,"特朗普政府禁止新型中国人形机器人",BBC News,"美国和中国正在争夺机器人和人工智能领域的全球领导地位。特朗普政府的最新禁令针对中国人形机器人，旨在保护美国的AI产业优势和技术领先地位。",中国;美国,人工智能竞争,人形机器人;AI领导权;中美科技战;技术封锁,https://www.bbc.com/news/articles/cp9e2ex3ekyo,高
2026-07-29,"法国西南部野火复燃，新热浪即将来袭",BBC News,"消防员正为周三气温急剧上升做准备，这可能使吉伦特省野火的控制工作复杂化。法国和西班牙正面临新一轮高温热浪，两国的灭火工作面临严峻挑战。",法国;西班牙;欧盟,地区热点,野火;气候变化;欧洲热浪;自然灾害,https://www.bbc.com/news/articles/c5yd8gly1ydo,低
2026-07-29,"沙特加入美国对伊拉克境内伊朗支持民兵的打击行动",BBC News,"美国中央司令部称，代理组织对美国基地和沙特能源基础设施发动了攻击。作为回应，沙特阿拉伯与美国联合对伊拉克境内受伊朗支持的武装组织进行了军事打击。",美国;沙特阿拉伯;伊拉克;伊朗,国际政治,沙特;伊朗民兵;伊拉克;联合打击;中东局势,https://www.bbc.com/news/articles/c70g6y24d76o,高
2026-07-29,"泽连斯基和内塔尼亚胡访问华盛顿，乌克兰和伊朗战争持续",BBC News,"两位领导人先后在白宫举行双边会谈后表示受到鼓舞。会议讨论了各自地区的战争局势，包括乌克兰抵抗俄罗斯侵略以及以色列与伊朗及其代理人的冲突。",美国;乌克兰;以色列;俄罗斯;伊朗,外交资讯,泽连斯基;内塔尼亚胡;白宫;乌克兰战争;中东和平,https://www.bbc.com/news/articles/cj4k2z8z45ro,高
